organisation,funding_volatility,core_support_deficit,regulatory_burden,intl_funding_barriers,volunteer_staffing,capacity_structure_visibility,credit_model_risk
IT and digital-skills education NGO,1,0,1,0,0,1,0
Youth-led education and empowerment NGO,1,0,0,0,1,0,0
Membership-based professional association,1,0,0,0,0,1,0
Financial NGO (ceased operations),1,0,0,0,0,0,1
Community health and education nonprofit,0,0,0,1,0,1,0
Charitable relief foundation,1,0,0,0,1,0,0
Youth skills and employment foundation,1,0,0,0,0,1,0
Malaria-prevention NGO,1,0,0,0,1,0,0
Youth empowerment and climate NGO,1,0,1,0,0,0,0
Child-welfare foundation,1,1,0,1,0,1,0
"Financial NGO (licensed, operating)",1,0,0,0,0,0,1
